??????ID,??????????,????????,????????????,????????????????,????????????????????,????????????????????,????????????,????????????,??????????(09~18),??????????(19~08),????????????????,????????????????,????????????????????????????,??????????????????
20200719,11260,??????,380247.4552,373506.2219,6345.3936,395.8397,396574.3027,364245.5865,370915.9746,386912.7985,142475.3426,21923.6776,89478.0018,31073.6632
20200719,11290,??????,455148.7941,437056.7378,15792.6802,2299.3761,471707.028,438719.2348,446082.9603,461624.3897,161973.8268,20732.0209,88364.6806,52877.1253
20200719,11305,??????,320639.9571,314664.7912,5392.6816,582.4843,333168.8848,307658.6825,312118.9649,326726.3802,171201.7257,12713.3231,120919.2326,37569.17
20200719,11320,??????,299016.4233,295506.0424,2946.8058,563.5751,308069.7704,292094.0971,295382.0435,301612.4089,127669.6899,16753.5902,72045.3725,38870.7272
20200719,11350,??????,549003.1442,543036.8488,5178.3062,787.9892,566396.0598,535573.3982,540727.7858,554914.1145,200357.267,29777.3032,122924.8236,47655.1402
20200719,11380,??????,481693.6565,473634.2067,6986.5961,1072.8537,506390.1908,458102.9561,466796.7127,492334.3308,166813.3984,26270.2119,108744.2245,31798.962
20200719,11410,????????,369166.8504,345344.2769,20696.8457,3125.7279,378844.7376,362869.7696,366257.0959,371245.2466,146177.6016,24727.4111,62208.2764,59241.9141
20200719,11440,??????,465707.7743,438515.2341,21411.3668,5781.1733,489227.0806,446880.454,471922.9778,461268.3432,213090.9361,42984.8881,84325.0131,85781.0349
20200719,11470,??????,419498.6093,411963.5202,5683.2043,1851.8848,430559.7761,410861.7277,415203.288,422566.6959,170284.9774,25461.0977,91472.337,53351.5427
20200719,11500,??????,561257.3971,548537.0583,9640.3455,3079.9933,578566.838,548983.6439,554323.5105,566210.1733,207635.7157,43854.3471,117599.589,46181.7796
20200719,11530,??????,424767.409,383869.4762,33212.8675,7685.0654,435025.4055,417675.2691,420931.1065,427507.6252,158460.9327,42491.1206,73332.3323,42637.4798
20200719,11545,??????,227026.7614,205820.0559,18517.0912,2689.6144,232333.1998,222206.5687,229135.4939,225520.524,98119.3212,27658.617,44938.0934,25522.6108
20200719,11560,????????,466335.2226,418517.712,40165.8353,7651.6753,489753.5817,442436.6738,482594.1296,454721.7176,223807.5549,50499.8062,87059.1325,86248.6162
20200719,11590,??????,420164.7302,400097.3166,16577.2148,3490.1988,444420.7084,401379.1019,408220.9529,428695.9997,141578.794,25131.0659,66574.4707,49873.2574
20200719,11620,??????,533440.2968,506589.6099,24222.4323,2628.2546,561236.2104,509833.8334,518816.2109,543886.0725,191926.9822,31356.3218,112002.5822,48568.0782
20200719,11650,??????,524848.0365,506893.8577,13361.8051,4592.3737,561799.4431,489073.1969,549365.6354,507335.4658,250795.4523,63933.5213,88179.1741,98682.7569
20200719,11680,??????,714825.0878,692449.0522,16226.8451,6149.1905,773059.0761,661435.2225,755345.3559,685882.0392,335446.8141,86267.5132,112221.4958,136957.8051
20200719,11710,??????,757672.2321,737026.5414,16329.0388,4316.6519,774655.1992,744518.2258,760533.4874,755628.4782,304908.6235,70139.0583,159363.4294,75406.1358
20200719,11740,??????,531647.2219,518853.0825,9466.3551,3327.7844,553532.6306,511200.2442,519604.8215,540248.9366,198949.2269,36024.9619,130796.6003,32127.6647
20200718,11000,??????,10761288.8,10281548.47,399984.471,79755.8595,10831964,10694639.49,10752391.03,10767644.35,4981663.846,1121962.554,2092851.564,1766849.729
20200718,11110,??????,271300.0732,253361.6888,16178.2061,1760.1783,333115.0545,229580.698,308996.1212,244374.3246,198838.2855,53759.0704,32491.9427,112587.2724
20200718,11140,????,229635.6771,207337.4181,18021.1845,4277.0745,288340.7806,182625.2269,267941.3988,202274.4473,178786.9748,45612.3702,30149.849,103024.7556
20200718,11170,??????,300853.0995,274756.1733,22381.1039,3715.8223,320880.1494,282813.5918,310875.2084,293694.4504,158344.8645,41537.2502,46875.5658,69932.0485
20200718,11200,??????,347155.2122,327632.7955,16306.533,3215.8837,353111.373,339966.5792,347844.3234,346662.9899,163364.2019,31102.7479,60173.6059,72087.8481
20200718,11215,??????,400750.4508,373866.0083,23000.5114,3883.931,414287.8328,386416.1392,391548.0609,407323.5863,172450.5025,35078.021,77267.4682,60105.0133
20200718,11230,????????,373999.5233,347671.9188,22590.4328,3737.1717,386539.2102,357435.0263,367693.5297,378503.8043,161346.5242,26809.2926,72623.4022,61913.8294
20200718,11260,??????,366604.9747,359688.7649,6349.9392,566.2706,390528.4825,337801.0389,347862.0433,379992.7828,147734.7457,24753.0747,87869.3077,35112.3633
20200718,11290,??????,439493.0266,421703.8621,15324.5674,2464.5972,464678.6883,409922.4453,419709.1127,453624.3937,163582.2351,21075.6575,84337.0557,58169.5219
20200718,11305,??????,309978.7075,304265.8831,5209.7487,503.0757,329544.4054,290036.7761,295038.88,320650.0129,172146.9581,13667.2924,116067.3729,42412.2928
20200718,11320,??????,290010.6332,286622.872,2965.7794,421.9818,300946.6379,275594.9107,281298.8269,296233.352,133561.6295,19984.4876,70374.0957,43203.0462
20200718,11350,??????,533847.0269,527787.6055,5249.0548,810.3665,558175.7016,508751.1394,515000.5639,547308.7861,210025.0957,34723.1995,121436.6453,53865.2509
20200718,11380,??????,465540.9147,457143.7295,7052.2196,1344.9657,496666.1871,432214.5202,441710.8498,482562.3897,176079.3132,30741.4508,108442.3557,36895.5067
20200718,11410,????????,366822.9121,342981.0205,20808.1037,3033.7879,374729.9082,358762.3004,362064.9025,370221.4904,161906.1047,31523.2708,60131.8719,70250.962
20200718,11440,??????,480699.8185,453504.1829,21799.4983,5396.1373,521231.6535,451594.1072,492295.9368,472416.8768,262889.9483,65142.6919,83005.7548,114741.5016
